Replicate,File Name,Acquired Time,Group,SampleGroup,ForFigure
133,IQC133.raw,12/4/2021 6:05:44 AM,Batch4,Sample,False
134,IQC134.raw,12/4/2021 8:25:21 AM,Batch4,Sample,False
135,IQC135.raw,12/4/2021 10:45:02 AM,Batch4,Sample,False
136,IQC136.raw,12/4/2021 1:04:47 PM,Batch4,Sample,False
137,IQC137.raw,12/4/2021 4:33:21 PM,Batch4,Sample,True
138,IQC138.raw,12/4/2021 6:53:15 PM,Batch4,Sample,False
139,IQC139.raw,12/4/2021 9:12:59 PM,Batch4,Sample,True
140,IQC140.raw,12/4/2021 11:32:42 PM,Batch4,Sample,False
141,IQC141.raw,12/5/2021 1:52:26 AM,Batch4,Sample,True
142,IQC142.raw,12/5/2021 4:12:05 AM,Batch4,Sample,False
143,IQC143.raw,12/5/2021 6:31:53 AM,Batch4,Sample,True
144,IQC144.raw,12/5/2021 8:51:38 AM,Batch4,Sample,False
145,IQC145.raw,12/5/2021 12:20:29 PM,Batch4,Sample,False
146,IQC146.raw,12/5/2021 2:40:42 PM,Batch4,Sample,False
147,IQC147.raw,12/5/2021 5:00:51 PM,Batch4,Sample,False
148,IQC148.raw,12/5/2021 7:20:50 PM,Batch4,Sample,False
149,IQC149.raw,12/5/2021 9:41:00 PM,Batch4,Sample,False
150,IQC150.raw,12/6/2021 12:01:08 AM,Batch4,Sample,False
151,IQC151.raw,12/6/2021 3:30:50 AM,Batch4,Sample,False
152,IQC152.raw,12/6/2021 5:50:57 AM,Batch4,Sample,False
153,IQC153.raw,12/6/2021 8:10:59 AM,Batch4,Sample,False
154,IQC154.raw,12/6/2021 10:31:04 AM,Batch4,Sample,False
155,IQC155.raw,12/6/2021 12:51:14 PM,Batch4,Sample,False
156,IQC156.raw,12/6/2021 3:11:25 PM,Batch4,Sample,False
157,IQC157.raw,12/6/2021 5:31:42 PM,Batch4,Sample,False
